sensor_key,sensor_description,value,last_shared_date,period(min)
CO@1_3_27,House 1_Floor1_Bathroom_Water_BathCold_Flow,0.0,2024-03-14 09:33:54,
CO@1_3_28,House 1_Floor1_Bathroom_Water_BathCold_Temp,9.3,2024-06-02 18:52:35,1628.13
CO@1_3_29,House 1_Floor1_Bathroom_Water_BathHot_Volume,,,
CO@1_3_30,House 1_Floor1_Bathroom_Water_BathHot_Flow,0.0,2024-03-14 09:33:56,
CO@1_3_31,House 1_Floor1_Bathroom_Water_BathHot_Temp,9.0,2024-06-04 16:00:19,
CO@1_3_32,,,,
CO@1_3_33,,,,
CO@1_3_34,,,,
CO@1_3_35,,,,
CO@1_3_36,,,,
CO@1_3_37,,,,
CO@1_3_8,House 1_Floor1_Kitchen_Water_SinkCold_Volume,1.7376100957627732e-43,2024-05-07 08:50:14,
CO@1_3_83,House 1_Floor1_Bathroom_Water_ToiletCold_Volume,,,
CO@1_3_84,House 1_Floor1_Bathroom_Water_ToiletCold_Flow,0.0,2024-05-20 13:41:02,
CO@1_3_85,House 1_Floor1_Bathroom_Water_ToiletCold_Temp,9.1,2024-06-04 15:12:12,
CO@1_3_9,House 1_Floor1_Kitchen_Water_SinkCold_Flow,376.32,2024-05-07 08:50:04,
CO@1_4_0,House 1_Floor1_LivingRoom_Other_Temperature,18.36,2024-06-05 13:51:26,5.0
CO@1_4_1,House 1_Floor1_LivingRoom_Other_Humidity,66.92,2024-06-05 13:54:16,5.17
CO@1_4_10,House 1_Floor1_Kitchen_Other_Temperature,18.79,2024-06-05 13:56:25,5.0
CO@1_4_11,House 1_Floor1_Kitchen_Other_Humidity,71.16,2024-06-05 13:54:14,5.16
CO@1_4_12,House 1_Floor1_Kitchen_Other_CO2,44.0,2024-06-05 13:51:25,4.21
CO@1_4_120,House 1_Floor1_Bathroom_Other_Temperature,16.9,2024-06-05 13:55:24,4.99
CO@1_4_121,House 1_Floor1_Bathroom_Other_Humidity,67.92,2024-06-05 13:53:13,4.0
CO@1_4_122,House 1_Floor1_Bathroom_Other_CO2,185.92000000000002,2024-06-05 13:55:24,4.82
CO@1_4_123,House 1_Floor1_Bathroom_Other_Occupancy,0.0,2024-05-31 10:22:32,
