#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
221,CS STRATOS,CS STRATO,FREIGHTER,28813,162.50,26,9.00,14030,6724.00,PANAMA,01/01/2007,PANAMA,13186.00,9350991
222,CWIND VOYAGER,CWV,MISCELLANEOUS,28813,26.50,9.1,1.38,125,0.00,,,,0.00,
223,DANIEL,DAN,FREIGHTER,28813,134.44,2250,871.00,9990,6006.00,SAINT JOHNS,01/01/2006,,11208.00,9326988
224,DELFIN,DELF,FREIGHTER,507300,89.25,13.3,5.60,2780,,LATVIA,,,3789.00,9173161
225,DELIA,DELIA,FREIGHTER,507300,89.70,11.65,4.48,1846,1081.00,ST JOHNS,,ANTIGUA & BARBUDA,2500.00,9234317
226,DELPHIN,DELPN,CRUISE,20195,156.27,22,6.00,16214,,VALLETTA,01/01/1975,MALTA,,7347536
227,DELTA-D,DEL,FREIGHTER,635040,98.33,17.66,6.28,3498,,SAS VAN GENT,,NETHERLANDS,,8803783
228,DEO GLORIA,DEO,DREDGER,20193,72.00,14,3.00,1512,453.00,GOES,01/10/2016,NETHERLAND,2100.00,7711074
229,DEO VOLENTE,DEO VOLEN,FREIGHTER,20162,104.69,15.6,5.82,2981,1198.00,URK,02/01/2007,NETHERLANDS,3750.00,9391658
230,DEUTSCHLAND,DEUT,CRUISE,20162,175.30,23,5.00,22496,8264.00,KIEL,01/05/1998,GERMAN,3460.00,9141807
231,DINA TRADER,DINA,FREIGHTER,28813,134.44,22,8.00,9981,6006.00,GIBRALTAR,01/11/2007,,11287.00,9354442
232,DOCKMAN,DOCK,TUG,464225,20.00,,2.00,99,99.00,,,,,
233,DP LEGACY,DPLEG,FREIGHTER,28813,140.55,23,8.00,10965,4714.00,VALLETA,22/10/2006,GERMAN,12611.00,9349174
234,DUKE OF NORMANDY,DON,TUG,202362,26.00,9,2.70,212,,JERSEY,01/01/2005,JERSEY,200.00,9348429
235,DUMB BARGE,DUMB,MISC BARGE,20191,54.00,,1.00,20,,PORTSMOUTH,,UNITEDKINGDOM,,
236,DUNCAN ISLAND,DUN,FREIGHTER,28813,178.50,25.24,9.20,14061,6900.00,NASSAU,,BAHAMAS,14140.00,
237,DURBAN STAR,DURB,FREIGHTER,28813,150.35,,,10614,5017.00,NASSUA,20/10/1992,,10629.00,9019121
238,DUTCH PEARL,D PEARL,TUG,507300,31.10,9.66,2.60,254,,ZIERIKZEE,01/05/2015,NETHERLANDS,,9547881
239,EASTERN BAY,EBAY,FREIGHTER,20195,143.00,22,8.00,8917,4366.00,MONROVIA,,LIBERIA,9662.00,9143752
240,EDDA FONN,EDD,MISCELLANEOUS,202362,84.70,18,6.00,4505,,,,,2800.00,9273662
241,EDT JANE,EDTJ,FREIGHTER,202362,88.80,19,6.00,4953,1489.00,,,,4577.00,9491410
242,EEMS DUNDEE,EEMD,FREIGHTER,563504,107.95,16.1,6.45,5198,1997.00,DELFZIJL,01/01/2013,NETHERLANDS,6555.00,9658109
243,EEMS ROVER,EEMS ROVER,FREIGHTER,507300,89.95,15.25,5.64,2992,,DELFZIJL,01/06/2021,NETHERLANDS,,9529190
244,EEMS SKY,ESKY,FREIGHTER,563504,87.27,11.450,4.26,1862,920.00,DELFZIJL,01/06/2022,NETHERLANDS,2600.00,9421647
245,EEMS TRANSPORTER,EEMS TRANS,FREIGHTER,563504,89.99,13.83,4.35,2186,,DELFZIJL,,NETHERLANDS,,9340300
246,EEMS TRAVELLER,EEMS,FREIGHTER,1824442,90.60,13.750,4.35,2137,1164.00,DELFZIJL,,NETHERLANDS,2850.00,9218234
247,EEMSLIFT NELLI,EEM,FREIGHTER,563504,111.60,17.1,5.90,5460,1638.00,DELFZIJI,,NETHERLANDS,4200.00,
248,EGS PIONEER,EPION,MISCELLANEOUS,28813,25.00,7,3.00,99,99.00,,,,99.00,7382926
249,EL TORO,ELTOR,FREIGHTER,28813,147.81,23,8.00,9957,5020.00,HONG KONG,01/10/2011,HONG KONG,13633.00,9330264
250,ELBBLUE,ELBB,FREIGHTER,644009,151.72,23.4,8.00,10585,,LIMASSOL,,,13200.00,9504059
251,ELBSKY,ELBS,FREIGHTER,644009,157.70,23,,11550,5839.00,,,ANTIGUA & BARBUDA,14800.00,9412531
252,ELBSTROM,ELB,FREIGHTER,20162,139.60,22.2,7.00,8273,,MADEIRA,01/01/2008,PORTUGAL,11051.00,9369007
253,ELENORA,ELE,FREIGHTER,507300,85.60,13.030,5.71,2469,1272.00,MADEIRA,,,4023.00,9184421
254,ELISABETH S,ELISBETHS,FREIGHTER,COMDCK,88.62,12.6,5.30,1905,,,,,2665.00,
255,ELKE W,ELK,FREIGHTER,507300,82.50,12.58,5.35,2409,993.00,HAMBURG,06/10/2005,GERMAN,3692.00,9279070
256,ELLENSBORG,ELL,FREIGHTER,563504,138.50,21,8.00,9627,4261.00,PANAMA,17/10/2011,PANAMA,12731.00,9488061
257,ELSBORG,ELSO,FREIGHTER,507300,88.97,11.8,5.40,2281,1229.00,DELFZIJL,01/01/2010,NETHERLANDS,3609.00,9411771
258,ELSEBETH,EBETH,FREIGHTER,28813,151.99,23,6.00,10519,5406.00,PANAMA,,PANAMANIAN,10327.00,9175901
259,ELVIRA,EVIRA,FREIGHTER,28813,151.99,23,6.00,10532,5406.00,PANAMA,01/01/2000,PANAMA,10309.00,9202869
260,EM SPETSES,ESPET,FREIGHTER,28813,175.49,24,10.00,18321,10392.00,MONROVIA,,LIBERIA,23579.00,9403413
261,EMERALD,EMERALD,FREIGHTER,28813,151.99,23,8.00,10532,5406.00,PANAMA,01/01/2000,PANAMA,10346.00,9202857
262,EMERALD ETERNITY,EME,FREIGHTER,563504,199.90,32.26,13.52,36106,21206.00,,01/01/2021,MARSHALL ISLANDS,63591.00,9875630
263,EMERALD WATER OCEAN,EMERALDWO,CRUISE,563504,1.00,,,1,,,,,,
264,EMMA JANNEKE,MJAN,FREIGHTER,,115.48,16.5,5.70,5232,2382.00,GIBRALTAR,17/11/2005,GIBRALTAR,6399.00,9363508
265,EMSTAL,EMSTA,FREIGHTER,507300,87.90,12.9,5.49,2461,1369.00,MADEIRA,01/01/2007,PORTUGAL,3700.00,9356878
266,EMUNA,EMU,FREIGHTER,507300,89.95,15.330,5.63,2.99,1.65,WERKENDAM,01/01/2009,NETHERLANDS,4.50,9529188
267,EN AVANT 9,ENAV9,TUG,20162,22.50,7,3.00,134,,,,,180.00,9163910
268,ENA FRONTIER,ENA FRO,MISCELLANEOUS,20162,83.18,22.02,7.10,5418,,SINGAPORE,,SINGAPORE,,9427055
269,ENAK,ENAK,MISCELLANEOUS,COMDCK,55.25,25,3.00,1707,510.00,HAMBURG,01/03/1967,GERMAN,,6826858
270,ENGLISHMAN,ENGL,TUG,934842,24.40,9.15,3.00,248,97.00,HULL,01/11/2015,UNITED KINGDOM,97.00,9706023
271,ERASMUSGRACHT,ERGHT,FREIGHTER,20246,136.35,,8.00,8448,4651.00,AMSTERDAM,,NETHERLANDS,12754.00,9081368
272,ESMERALDA,ESDA,FREIGHTER,28813,151.99,23,8.00,10532,5406.00,PANAMA,,PANAMA,10358.00,9181170
273,ETRETAT,ET,FERRY,20212,186.40,25,6.00,26904,,,,,,9420423
274,EUROPA,EUR,CRUISE,20162,198.60,24.0,6.30,28890,9205.00,VALLETTA,01/07/2020,MALTA,2557.00,9183855
275,EUROPA 2,EUR2,CRUISE,20162,225.60,26,6.00,42830,,VALLETTA,,MALTA,5285.00,9616230
276,EUROSUND,ESUND,TUG,COMDCK,35.74,10,4.00,422,126.00,SVENDBORG,01/02/1979,DENMARK,246.00,7719698
277,EVEREST BAY,EVBAY,FREIGHTER,28813,141.00,20,8.00,8739,4085.00,MONROVIA,,,9692.00,8911073
278,EXPANSA,EPAN,FREIGHTER,28813,140.67,,6.00,9983,,SAINT JOHNS,,ANT&BARBUDA,12306.00,9429261
279,EXPEDITION,EXPN,CRUISE,20162,105.23,18,4.00,6334,1900.00,MONROVIA,,LIBERIA,965.00,7211074
280,EXPLORA I,EXPLORA I,CRUISE,20162,244.00,,,63900,,,,,,
281,EXTERNO,EXTNO,FREIGHTER,28813,140.66,23,8.00,9983,,SAINT JOHNS,05/12/2010,NETHERLANDS,12306.00,9429273
282,FAGELGRACHT,FAG,FREIGHTER,20246,137.00,18,8.00,8620,4398.00,AMSTERDAM,07/06/2009,DUTCH,12500.00,9428425
283,FARRA AOIFE,FARAA,MISCELLANEOUS,563504,26.40,9,1.72,105,105.00,JERSEY,,JERSEY,50.00,232040984
284,FAST HERMAN,FASH,FREIGHTER,563504,82.50,12.6,5.30,2474,1464.00,ANTWERP,01/01/2016,BELGIUM,3480.00,9345362
285,FAST JEF,FAJE,FREIGHTER,563504,87.95,12.53,4.64,2066,,ANTWERP,,BELGIUM,,9136101
286,FAST SAM,FAS,FREIGHTER,563504,89.99,12.5,4.54,1983,1061.00,ANTWERP,22/10/1993,BELGIUM,3204.00,9085455
287,FEGULUS,FEG,FREIGHTER,28813,150.10,,9.00,10374,5253.00,BARBADOS,,,10545.00,9055709
288,FILIA NETTIE,FIL,FREIGHTER,563504,89.95,13.75,4.35,2199,1161.00,WERKENDAM,18/04/2018,NETHERLANDS,2950.00,9488827
289,FLATHOLME,FLA,DREDGER,508011,24.00,8,2.00,0,0.00,,,,0.00,235014266
290,FLYING SPINDRIFT,FLY,TUG,57668,30.66,9,3.00,259,0.00,GLASGOW,01/01/1990,UK,0.00,
291,FOKKO UKENA,FOKKO,FREIGHTER,20162,88.63,12.5,5.14,2451,,SAINT JOHN'S,,ANTIGUA & BARBUDA,,9375812
292,FORCE INDIA,FOR,MISCELLANEOUS,20246,49.90,9,1.00,488,146.00,VALLETTA,01/03/2010,MALTA,0.00,9459541
293,FORCEFUL,FFUL,TUG,20191,15.00,4,2.00,99,99.00,,,,99.00,
294,FOREVER ONE,FORE,MISCELLANEOUS,20246,54.65,10,3.00,875,,CAYMAN ISLANDS,01/01/2018,,,9658721
295,FORTH JOUSTER,FORJ,MISC BARGE,COMDCK,26.00,11.5,2.35,255,76.00,LEITH,01/02/2008,UK,300.00,9513828
296,FRAM,FRA,CRUISE,20162,113.86,26,5.00,11647,3818.00,NARVIK,01/01/2007,NORWAY,984.00,9370018
297,FRANK BONEFAAS,BON,MISCELLANEOUS,20195,119.65,17.72,7.16,6.56,2.56,HULL,05/01/0094,UNITED KINGDOM,6.01,9074951
298,FRANKLIN,FLIN,MISCELLANEOUS,202362,55.61,11,3.00,1178,353.00,GOTHENBURG,21/10/1984,SWEDISH,1218.00,8301797
299,FRAUKE,FRU,FREIGHTER,563504,159.80,24.000,9.08,12,,SAINT JOHN'S,01/01/2008,ANTIGUA AND BARMUDA,12.00,9376488
300,FREEWAY,FWAY,DREDGER,20193,92.10,19,5.00,4320,1296.00,LIMASSOL,01/02/2015,CYPRUS,5950.00,9691682
301,FRI RIVER,FIV,FREIGHTER,507300,91.25,13.75,4.92,2548,,NASSAU,28/07/2000,BAHAMAS,3300.00,9224104
302,FRI SEA,FRIS,FREIGHTER,507300,91.25,14.0,5.21,2601,1428.00,NASSAU,01/09/2009,BAHAMAS,333.00,9229166
303,FRI SKIEN,FRIK,FREIGHTER,507300,89.25,,5.67,2780,1587.00,LIMASSOL,01/04/2015,CYPRUS,3740.00,9148192
304,FRIDTJOF NANSEN,F NANSEN,CRUISE,64766,140.00,23.6,5.50,21765,7545.00,TROMSO,09/12/2018,NORWAY,2206.00,9813084
305,FRIEDHELM,FRIE,FREIGHTER,20162,89.75,12.650,549.00,24518,1423.00,MADEIRA,01/03/2023,PORTUGAL,3803.00,9953951
306,FRIO ADRIATIC,FRI,FREIGHTER,28813,134.00,18,6.00,6964,5155.00,PANAMA,,,0.00,9076272
307,FRIO HELLENIC,FHEL,FREIGHTER,28813,148.00,21,9.00,10069,5579.00,PANAMA,01/01/1999,PANAMANIAN,11070.00,9081679
308,FRISIA KIEL,FKIEL,FREIGHTER,28813,207.52,29,11.00,25406,12538.00,MONROVIA,,LIBERIA,33847.00,9302437
309,FRYDERYK CHOPIN,FRY,MISCELLANEOUS,COMDCK,55.00,8,4.20,3.6,,,,,,
310,FUGRO COMMANDER,FUG,MISCELLANEOUS,20162,56.27,11,3.00,991,297.00,PANAMA,,PANAMA,1250.00,8109266
311,FUGRO MERIDIAN,FUGRO MER,MISCELLANEOUS,202362,72.52,13.8,5.96,2.26,677.00,NASSAU,01/01/1982,BAHAMAS,1.50,8101331
312,GALICIA,GAL,FERRY,20212,214.50,28.44,6.00,41863,,MORLAIX,,FRENCH,7700.00,9856189
313,GALLANT LADY,GALLANT,MISCELLANEOUS,78322,48.20,9.580,3.40,708,212.00,"DOVER, DE",01/01/1996,U.S.A,,8354653
314,GARGANO,GARG,MISCELLANEOUS,202362,72.00,16.03,6.00,2244,936.00,LONDON,01/01/2002,UNITED KINGDOM,3115.00,9249403
315,GARY CHOUEST,GARY,TUG,635040,84.12,18.290,7.01,3.97,1.19,GALLIANO LA,01/01/1998,U.S.A,4.13,9132313
316,GEEST SERVICE,GEEST SERVICE,FREIGHTER,28813,99.00,,,99,,,,,,
317,GEISE,GEI,FREIGHTER,507300,98.85,14.07,5.74,3198,1725.00,GIBRALTAR,26/02/2006,GIBRALTAR,4299.00,9195470
318,GEO OCEAN IV,GOIV,MISCELLANEOUS,202362,41.90,9.1,5.20,723,,LUXEMBOURG,,LUXEMBOURG,,8704858
319,GEORG STAGE,GOE,MISCELLANEOUS,507300,54.00,8,0.00,99,99.00,KOPENHAGEN,,DENISH,99.00,5128417
320,GEORGIA TRADER,GTRAD,FREIGHTER,28813,204.43,0,11.00,22801,11010.00,VALLETTA,,MATLA,30608.00,9357107
321,GEOSUND,GEO,MISCELLANEOUS,202362,98.50,18.84,7.60,4949,1485.00,BERGEN,,,3624.00,9232694
322,GERMANICA HAV,GERH,FREIGHTER,563504,82.48,11.3,4.20,1.55,737.00,ANTIGUA & BARBUDA,01/03/1984,RUSSIAN,2.29,8324672
323,GITANA,GITA,FREIGHTER,507300,95.30,13.4,5.80,3169,1680.00,LEMMER,01/01/2003,NETHERLANDS,5019.00,9259056
324,GLOBAL,OBAL,MISCELLANEOUS,78322,74.00,13.2,3.80,1906,571.00,CAYMAN ISLANDS,01/11/2013,,315.00,1008700
325,GLOMAR WORKER,GLO,MISCELLANEOUS,507300,60.00,15.6,5.00,1969,590.00,PANAMA,01/01/2006,,1200.00,9344227
326,GMS ENDURANCE 6101,GMS,MISCELLANEOUS,20162,76.00,36,6.00,5087,1526.00,PANAMA,01/09/2010,PANAMA,0.00,9558969
327,GOLDEN HORIZON,GHOR,CRUISE,20162,164.00,,,20000,,CROATIA,,,,9793545
328,GOLIATH,GOL,TUG,COMDCK,29.16,7,3.00,167,50.00,UK,01/01/1957,BRITISH,,8227214
329,GOTLAND,GOTL,FREIGHTER,507300,88.97,11.8,5.40,2281,1229.00,STADE,01/01/2006,,3577.00,9411824
330,GOUWESTROOM,GOU,TUG,20162,20.70,6,2.00,80,0.00,,,,0.00,8943569
331,GPS BATTLER,GPS,TUG,101128,22.00,9,2.00,90,0.00,LONDON,,UK,0.00,235073887
332,GRAND CANYON III,GC3,MISCELLANEOUS,202362,128.00,25,6.30,12433,,,,NORWAY,,9695963
333,GREEN ITALIA,GRE,FREIGHTER,28813,131.25,19,8.00,7743,3726.00,NASSAU,24/03/1994,BAHAMANIAN,7721.00,9045780
334,GREEN QUEST,GREEN,MISCELLANEOUS,507300,17.80,6.4,1.50,12,,,,,,
335,GREEN SELJE,GSEL,FREIGHTER,28813,109.00,18,7.00,5084,3163.00,NASSAU,01/10/2010,BAHAMAS,6120.00,8804529
336,GREG MORTIMER,GREGMORTIMER,CRUISE,20162,104.40,21.227,5.30,8035,2410.00,NASSAU,01/08/2019,BAHAMAS,1450.00,9834648
337,GRIETJE,GRIT,FREIGHTER,563504,151.65,20.66,7.85,8397,4178.00,SAINT JOHN'S,01/04/2007,ANTIGUA & BARBUDA,9360.00,9147708
338,GT AURIGA,GTAU,FREIGHTER,507300,84.95,13.03,5.44,2416,1022.00,SAINT JOHN'S,01/04/1993,ANTIGUA & BARBUDA,3582.00,9041318
339,GT FORSETI,GTF,FREIGHTER,507300,84.90,13,5.40,2416,1358.00,SAINT JOHNS,,ANTIGUA& BARBUDA,3602.00,
340,GT PIKE,GT PI,FREIGHTER,507300,88.60,12.50,5.42,3800,,SAINT JOHN'S,,NETHERLANDS,,9373278
341,GUARDSMAN,GMAN,TUG,566408,24.00,8,3.00,188,54.00,,,,0.00,9015826
342,GUILLAUME DE NORMANDIE,GDN,FERRY,20212,194.70,,,40000,,,,,,
343,GUNILLA,GUN,MISCELLANEOUS,507300,61.00,8,3.00,405,121.00,,01/01/1940,SWEDISH,546.00,5239515
344,HAAFJELL,HAA,FREIGHTER,507300,89.10,13.4,5.65,2768,1629.00,FLEKKEFJORD,,NORWAY,3714.00,
345,HAM 602,HAM,FUEL BARGE,202362,83.39,20,4.00,2601,780.00,NETHERLANDS,01/06/2019,,2691.00,8139388
346,HAMBURG,HAMBURG,CRUISE,423437,145.00,21,5.00,15067,5092.00,NASSAU,30/10/1996,BAHAMNIAN,1300.00,9138329
347,HAMMONIA EMDEN,HEMD,FREIGHTER,28813,210.00,30,11.00,26836,12743.00,MONROVIA,01/01/2006,GERMANY,34248.00,9326823
348,HAMMONIA HUSUM,HHUS,FREIGHTER,28813,210.00,30,11.00,26836,12743.00,MONROVIA,31/03/2006,,34253.00,9326835
349,HANNA L,HANL,FREIGHTER,507300,88.60,12.52,5.43,2545,,CYPRUS,01/11/2020,CYPRUS,3843.00,9370276
350,HANSA BREMAN,HBRE,FREIGHTER,28813,156.53,23,9.00,10842,6381.00,MONROVIA,,LIBERIA,12942.00,8802088
351,HANSA LUBECK,HLUB,FREIGHTER,20195,156.53,23,9.00,10842,6381.00,BRIDGETOWN,01/01/2014,BERDADOS,12942.00,8909068
352,HANSA RENDSBURG,HANSA,FREIGHTER,28813,175.58,27,10.00,18335,10744.00,MONROVIA,,LIBERIA,23992.00,9155377
353,HANSEATIC,HANS,CRUISE,20162,122.73,0,4.00,8378,2554.00,NASSAU,,GERMANY,1100.00,9000168
354,HARBOUR SPIRIT,HSPI,FERRY,20141,33.00,10,99.00,1,1.00,,,,0.00,9741669
355,HAV SNAPPER,HAVS,FREIGHTER,20162,88.30,12.5,4.61,1961,964.00,NASSAU,01/01/2009,,30114.00,9001813
356,HBC ACHIEVER,ACHI,MISCELLANEOUS,635040,36.00,11.15,3.09,487,146.00,GILLELEJE,01/02/2015,DENMARK (DIS),,9647978
357,HEBRIDEAN PRINCESS,HEBPRI,CRUISE,20162,72.00,14.10,2.74,2112,633.00,GLASGOW,01/01/1964,UNITED KINGDOM,240.00,6409351
358,HEBRIDEAN SKY,HEB,CRUISE,20162,90.60,15,4.00,4200,1263.00,NASSAU,13/04/1991,,645.00,8802882
359,HEENVLIET,HEENVLIET,FREIGHTER,20162,88.60,12.69,5.42,2549,1460.00,ROTTERDAM,01/01/2008,NETHERLANDS,3850.00,9536076
360,HELEN ANNA,HELA,FREIGHTER,507300,87.84,12.9,5.51,2452,1369.00,ST JOHNS,23/06/1998,,3650.00,9582867
361,HELLAS STREAM,HELLAS ST,FREIGHTER,28813,158.13,24.4,10.02,13049,5353.00,NASSAU,01/01/1991,,13930.00,9015187
362,HELMUT,HEL,FREIGHTER,28813,134.44,22,8.00,9981,6006.00,LIMASSOL,10/07/2006,,211272.00,9354466
363,HENDRIK-S,HEND,FREIGHTER,563504,82.50,12.4,5.34,2311,1305.00,KAMPEN,,NETHERLANDS,3200.00,9195391
364,HENDRIKA MARGARETHA,HENDM,FREIGHTER,507300,81.07,12.36,5.20,1999,1159.00,HASSELT,20/12/1992,NETHERLANDS,3200.00,9057238
365,HENNEKE RAMBOW,HEN,FREIGHTER,28813,134.44,22,8.00,9981,6006.00,HAMGURG,11/11/2006,GERMAN,11274.00,9354430
366,HENRIK S,HENRIK S,FREIGHTER,563504,129.49,19,8.70,8407,,,,,11169.00,9347633
367,HERANGER,HERA,FREIGHTER,28813,213.40,31.03,12.32,37150,14888.00,MAJURO,01/12/2021,,50198.00,9079121
368,HERITAGE ADVENTURER,HERADV,CRUISE,20162,124.00,,4.90,8378,2573.00,MADEIRA,01/12/2021,,1177.00,
369,HEYN,HEYN,FREIGHTER,507300,89.99,,5.25,2528,1053.00,,,NETHERLANDS,3500.00,9423671
370,HIBERNIA,HIB,TUG,20149,35.74,9,4.00,416,0.00,,,,0.00,7719686
371,HILKE,HIL,FREIGHTER,563504,133.94,23,7.80,11.47,3.83,ST JOHNS,01/01/2010,,10.05,9501875
372,HLV CANUTE,HLV,MISCELLANEOUS,37070,37.00,22,3.00,232,0.00,SOUTHAMPTON,,UK,0.00,
373,HMC SENTINEL,SENT,MISCELLANEOUS,121266,36.04,7,2.00,178,0.00,,,,0.00,8980426
374,HMS EXPLOIT,HMSEXP,MISCELLANEOUS,121266,24.00,8.00,,50,,,,,,
375,HMS FALKEN,FALK,MISCELLANEOUS,202362,40.00,8,4.00,99,99.00,SWEDEN,,SWEDEN,99.00,265070000
376,HMS RANGER,HMSRANG,MISCELLANEOUS,202362,24.00,8.00,,50,,,,,,
377,HMS SMITER,HMDSMI,MISCELLANEOUS,202362,24.00,8.00,,50,,,,,,
378,HONDURAS STAR,HON,FREIGHTER,28813,150.35,22,9.00,10629,4253.00,MONROVIA,01/01/1992,LIBERIA,10581.00,8906975
379,HONFLEUR,HONF,FERRY,20212,187.40,,,42400,,CAEN,,,,
380,HOOD ISLAND,HISL,FREIGHTER,28813,179.90,25,9.00,14061,6900.00,NASSAU,01/06/2011,BAHAMAS,14140.00,9059640
381,HOOGE,HOOGE,FREIGHTER,28813,161.35,25,9.90,15633,6717.00,GIBRALTAR,01/01/2006,GIBRALTAR,16986.00,9301122
382,HOPE BAY,HBAY,FREIGHTER,28813,143.00,22,7.00,8896,4365.00,PANAMA,,,0.00,9135169
383,HORNCAP,HCAP,FREIGHTER,28813,154.20,23,8.00,12887,3866.00,MONROVIA,01/02/2011,LIBERIA,9160.00,8802014
384,HORNCLIFF,HCLIF,FREIGHTER,28813,153.50,23,8.00,12887,3866.00,MONROVIA,01/06/2009,LIBERIA,9160.00,8912041
385,HSL SHEFFIELD,HSL SHEFF,FREIGHTER,28813,210.07,30,11.00,26833,12743.00,MONROVIA,16/08/2003,,34315.00,9275024
386,HYDRA,HYDR,FREIGHTER,507300,88.97,11.8,5.40,2281,1170.00,TEN BOER,01/01/2007,NETHERLANDS,3609.00,9356488
387,ICE GRACE,ICEGRACE,FREIGHTER,28813,144.60,23.6,10.00,12348,7984.00,MAJURO,,MARSHALL ISLANDS,14932.00,
388,ICELANDICA HAV,ICELANDIC,FREIGHTER,20162,82.45,11.38,4.22,1513,,NASSAU,,BAHAMAS,,8128884
389,IEVOLI AMBER,IEVO,MISCELLANEOUS,563504,83.83,,5.50,3.72,,,,,3.90,
390,IEVOLI COBALT,IEV,MISCELLANEOUS,20195,83.83,16,6.00,3715,1408.00,NAPLES,,ITALIAN,4000.00,9736872
391,IEVOLI IVORY,IVO,MISCELLANEOUS,20195,91.00,18.800,5.90,4,,,,,3.00,9703368
392,IJSSELDIJK,IJSS,FREIGHTER,507300,89.95,14.4,6.20,2984,1551.00,GRONINGEN,,NETHERLANDS,4891.00,9514913
393,ILMA,ILMA,CRUISE,20162,242.00,,,46750,,,,,,
394,INDIANA JONES,INJO,FREIGHTER,20162,104.80,16250,5.77,3826,2013.00,HAMBURG,,GERMANY,4402.00,8806149
395,INDUSTRIAL CENTURY,INDU,FREIGHTER,202362,119.80,20,7.72,7252,2982.00,SAINT JOHNS,,ANTIGUA & BARBUDA,8077.00,9253260
396,INDUSTRIAL SONG,IND,FREIGHTER,20195,147.00,22,8.00,11619,4391.00,MADEIRE,,PORTUGAL,12328.00,9750464
397,INFINITY,INFIN,MISCELLANEOUS,78322,117.00,16.10,,4978,,GEORGE TOWN,,CAYMAN FLAG,,9817896
398,INGEBORG PILOT,INGE,FREIGHTER,563504,88.45,11.35,4.95,2061,1161.00,KINGSTOWN,01/01/1994,ST VINCENT & THE GRE,3004.00,9108439
399,INTREPID,INTREP,MISCELLANEOUS,78322,69.15,11.20,3.35,1281,,GEORGE TOWN,,CAYMAN FLAG,,9733583
400,IRIS BLUE,IRISB,MISCELLANEOUS,78322,55.00,9.17,2.90,759,227.00,GEORGE TOWN,01/01/2024,CAYMAN ISLANDS,0.00,9944950
401,IRISHMAN,IRI,TUG,566408,24.00,8,3.00,188,54.00,,,UK,0.00,8816338
402,ISLAND FLYER,IFLY,MISCELLANEOUS,20191,22.00,10,1.00,99,99.00,UK,,,99.00,
403,ISLAND SKY,ISKY,CRUISE,20162,90.60,15,4.00,4200,1263.00,NASSAU,01/04/1992,UNITED STATES,480.00,8802894
404,ITALIA STREAM,ITAL STRE,FREIGHTER,28813,158.13,24,9.00,13049,5353.00,NASSAU,01/08/1992,BAHAMAS,13930.00,9030137
405,IVAR REEFER,IVA,FREIGHTER,20195,165.00,24,10.00,14406,6673.00,NASSAU,01/12/2011,BAHAMAS,16950.00,8819938
406,IVORY GIRL,IGIR,FREIGHTER,20195,154.00,24,9.00,11438,5901.00,PORT VILA,,VANUATA,10432.00,9143099
407,JACQUES CARTIER,JADQUES,CRUISE,202362,132.00,,,10700,,,,,,
408,JAMAICA BAY,JBAY,MISCELLANEOUS,507300,59.85,11,3.00,1143,0.00,GERMANY,,,231.00,1009936
409,JAMILA,JAM,FREIGHTER,28813,161.30,25,9.00,16137,6126.00,MONROVIA,01/04/2010,LIBERIA,17152.00,9477359
410,JAYNEE W,JAY,FUEL BARGE,20104,75.00,12,5.00,1689,776.00,HULL,,UK,0.00,9130896
411,JENNY M,JEN M,MISCELLANEOUS,20184,16.00,3,,1,,,,,,
412,JEWEL OF THE SEAS,JEWEL OF SEAS,CRUISE,20162,293.00,32.2,8.10,90090,,,,,,
413,JIF ARTEMIS,JIF,MISCELLANEOUS,507300,32.00,12,3.00,357,107.00,MARSEILLE,,FRANCE,0.00,
414,JML 5014,JML,MISC BARGE,979897,50.00,14.00,2.35,544,,,,,,
415,JORGEN REEFER,JOR,FREIGHTER,20195,164.33,24,10.00,14406,6673.00,NASSAU,,BAHAMAS,16950.00,9007489
416,JORK,ORK,FREIGHTER,563504,145.65,18.29,7.40,8059,3909.00,SAINT JOHN'S,30/11/2011,,10872.00,9535606
417,JRS CAPELLA,JCAP,FREIGHTER,28813,129.51,20,7.00,7661,3085.00,LIMASSOL,,CYPRUS,8261.00,93295564
418,JSP MISTRAL,JMIS,FREIGHTER,28813,138.15,21,7.00,8032,3615.00,SAINT JOHNS,23/02/2009,GERMANY,10316.00,9368041
419,JSP SKIRNER,SKIR,FREIGHTER,644009,139.00,22.850,8.80,9981,4900.00,,,ANTIGUA & BARBUDA,,9347798
420,JSP SLIDUR,JSPS,FREIGHTER,644009,134.40,22.5,8.70,9962,6006.00,MADEIRA,,PORTUGAL,11433.00,
421,KAPITAN KOKOVIN,KAPK,FREIGHTER,507300,82.50,12.600,5.30,2474,1464.00,ARKHANGEISK,,RUSSIA,3480.00,9279422
422,KAPITAN SAKHAROV,KAP,FREIGHTER,507300,82.50,12.60,5.30,2474,1464.00,ARKHANGELSK,26/05/2004,,3483.00,9279434
423,KARLA C,KARL,FREIGHTER,507300,106.07,15.5,6.65,4151,2323.00,MADEIRA,,PORTUGAL,6795.00,
424,KAROLINE,KAR,FREIGHTER,563504,86.53,12.8,5.55,2588,1376.00,SAINT JOHN'S,01/12/2006,ANTIGUA & BARBUDA,3345.00,9375874
