#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
602,PULLMOOR,PULL,TUG,COMDCK,26.83,7.220,3.65,133,,LONDON,01/01/1984,UNITEDKINGDOM,78.00,8314574
603,QUEEN ESTER,QUEST,MISCELLANEOUS,426653,49.16,6,2.00,191,76.00,,,,,
604,RDJ JOHANNA,RDJ JOHANNA,FREIGHTER,507300,82.50,12.4,5.30,2.31,1.31,ROTTERDAM,01/01/2001,NETHERLANDS,3.15,9195418
605,RED JET 7,RED JET 7,FERRY,523658,40.88,10.87,1.31,353,124.00,UNITED KINGDOM,,BRITISH,31.46,9838321
606,REEF CHIEF,REEF,MISCELLANEOUS,78322,49.86,8,2.00,476,142.00,GEORGE TOWN,01/01/2008,AMERICAN,130.00,9537458
607,REGAL BAY,REG,FREIGHTER,28813,151.00,22.5,8.20,10375,,,,,10520.00,311907000
608,RENAISSANCE,RENAISSAN,CRUISE,20162,219.00,30.832,7.72,55575,26172.00,HAMILTON,01/09/2020,BERMUDA,7406.00,8919257
609,RESILIENT LADY,RESILIENT,CRUISE,20162,278.00,,,110000,,,,,,
610,REVELRY,REVELRY,MISCELLANEOUS,78322,52.30,9.4,3.15,672,201.00,BLOODY BAY,01/01/2012,CAYMAN ISLANDS,,1011111
611,REYNAERT,RNRT,DREDGER,20193,97.50,21,,5005,,FLUSHING,,NETHERLANDS,8327.00,9360726
612,RFA MOUNTS BAY,RFAMBAY,MISCELLANEOUS,COMDCK,176.60,32.2,5.10,23569,,LONDON,,UNITED KINGDOM,,9240770
613,RICHELIEU,RICH,FREIGHTER,507300,88.60,12.52,5.42,2545,1460.00,GIBRALTAR,01/03/2007,GIBRALTAR,3850.00,9369526
614,RIG,RIG,FREIGHTER,507300,87.00,13,5.07,2351,1149.00,MALTA,,,3200.00,8801137
615,RIGI VENTURE,RIGI VENT,MISCELLANEOUS,563504,199.00,32,9.70,36336,,HONG KONG,10/01/2022,HONG KONG,63500.00,9693197
616,RIO THELON,RTHEL,FREIGHTER,28813,210.06,30,11.00,26833,12743.00,MONROVIA,19/04/2004,LIBERIA,31314.00,9283708
617,RIVERMAN,RIV,TUG,566408,24.39,9.15,4.42,196,136.00,HULL,01/05/2022,UK,113.00,9513165
618,RIVIERA,RIVIERA,CRUISE,20162,239.00,32.18,7.60,66084,29187.00,MAJURO,01/04/2012,MARSHALL ISLANDS,7662.00,9438078
619,RIX ATLANTIC,RIXA,FREIGHTER,563504,87.95,12.39,5.60,2451,1294.00,LIMASSOL,,CYPRUS,3793.00,9194270
620,RIX BAY,RIXBAY,FREIGHTER,507300,90.12,50.2,5.64,2993,1593.00,LIMASSOL,01/06/2020,,4279.00,9017410
621,RIX EMERALD,RIX,FREIGHTER,563504,84.96,11.35,4.95,2061,1161.00,LIMASSOL,01/01/1995,CYPRUS,3001.00,9116802
622,RIX GULF,RIXG,FREIGHTER,563504,92.00,15,6.59,2982,1866.00,MADEIRA,01/01/2008,PORTUGAL,5400.00,9396701
623,RIX MISTRAL,RIM,FREIGHTER,507300,87.97,12.8,5498.00,2446,1369.00,LIMASSOL,30/01/1997,CYPRUS,3747.00,9173513
624,RIX PARTNER,RIXP,FREIGHTER,563504,87.98,12.95,5.49,2446,1369.00,MADEIRA,,PORTUGAL,3723.00,
625,RIX RIVER,RIXRI,FREIGHTER,563504,87.78,12.8,5.50,2.45,1.37,LIMASSOL,01/01/2018,CYPRUS,3.70,9065984
626,RIX RUBY,RIXRUBY,FREIGHTER,563504,91.46,,5.80,2.82,1.54,LIMASSOL,,CYPRUS,4.22,9114701
627,RIX WARRIOR,RIXWA,FREIGHTER,20162,89.40,13.6,5.72,2482,1538.00,LIMASSOL,01/11/2022,CYPRUS,4123.00,9129134
628,RMS DUISBURG,RDUIS,FREIGHTER,28813,99.90,11,3.00,2042,612.00,ST JOHNS,,ANTIGUA & BARBUDA,,9194309
629,RMS NEUDORF,RNEUD,FREIGHTER,28813,82.50,12,6.00,1985,969.00,SAINT JOHN,01/01/1999,ANTIGUA,2620.00,8920256
630,RMS VERITAS,RMSV,FREIGHTER,644009,99.26,16.44,4.90,2899,1390.00,SAINT JOHNS,,ANTIGUA & BARBUDA,3931.00,
631,RMS WANHEIM,RMSWAN,FREIGHTER,20162,82.51,12.5,4.46,1985,,MONROVIA,01/03/2016,LIBERIA,,8920268
632,ROALD AMUNDSEN,ROALD,CRUISE,20162,140.00,,,40000,,,,,,
633,ROALD-AMUNDSEN,ROA,MISCELLANEOUS,20162,49.00,7,4.20,252,,GERMANY,,,480.00,8994489
634,ROCKET RACOON,ROCK,FREIGHTER,563504,87.98,13.03,5.17,2642,1161.00,SAINT JOHN'S,03/07/1987,ANTIGUA & BARBUDA,3531.00,8707783
635,ROMAN,ROM,TUG,566408,27.00,9.1,,148,,,,,,
636,ROMI,ROI,FREIGHTER,507300,88.25,13.200,4.46,2373,1434.00,NASSAU,01/06/2005,BAHAMAS,4220.00,8922266
637,RORO4,ROR4,MISCELLANEOUS,496007,90.00,22,1.00,1,,,,,,
638,RORO5,ROR5,MISCELLANEOUS,496007,69.00,15,1.00,1,,,,,,
639,ROYAL KLIPPER,ROYALKLIP,FREIGHTER,28813,155.00,24,10.00,11382,6408.00,SCHEVENINGEN,02/07/2000,LIBERIA,12906.00,9172959
640,RR TRIUMPH,RRTPH,FERRY,163081,122.32,19,6.00,7606,2282.00,VALLETTA,01/10/1997,MALTA,5758.00,9119397
